Left	Right	k	Cumulative	Norm	RAS	StdErr
<HGDP00879>	French2	5	False	58347827	1.7075643490677063e-2	1.046837921305992e-4
<HGDP00879>	French2	6	False	58347827	1.9616640828537285e-2	2.277089612554632e-4
<HGDP00879>	French2	7	False	58347827	9.207106277167264e-3	6.639949891445391e-5
<HGDP00879>	French2	8	False	58347827	1.157635870484092e-2	1.9955686380970523e-4
<HGDP00879>	French2	9	False	58347827	5.93510139170682e-3	5.746214078363932e-5
<HGDP00879>	French2	10	False	58347827	7.900260924752295e-3	1.1953131896861334e-4
<HGDP00879>	Han2	2	False	58347827	0.14150674921587314	7.2583200838794e-4
<HGDP00879>	Han2	3	False	58347827	4.0542408606723306e-2	1.5248653318517607e-4
<HGDP00879>	Han2	4	False	58347827	4.437449412557611e-2	4.3357610285711917e-4
<HGDP00879>	Han2	5	False	58347827	1.7064929676235144e-2	1.0445375180577406e-4
<HGDP00879>	Han2	6	False	58347827	1.9626369290496583e-2	2.2744349361371053e-4
<HGDP00879>	Han2	7	False	58347827	9.201188086150334e-3	6.610866375665664e-5
<HGDP00879>	Han2	8	False	58347827	1.1583681793159536e-2	1.9931290874359192e-4
<HGDP00879>	Han2	9	False	58347827	5.931628422636161e-3	5.725876867261565e-5
<HGDP00879>	Han2	10	False	58347827	7.909323905125469e-3	1.1941399148831684e-4
<HGDP00879>	Karitiana2	2	False	58347827	0.14174720037131652	7.222981883562745e-4
<HGDP00879>	Karitiana2	3	False	58347827	4.067197609604217e-2	1.523053122011151e-4
<HGDP00879>	Karitiana2	4	False	58347827	4.4433110165353784e-2	4.32139961644755e-4
<HGDP00879>	Karitiana2	5	False	58347827	1.7094445522367097e-2	1.0445386642818756e-4
<HGDP00879>	Karitiana2	6	False	58347827	1.96088703526183e-2	2.24255278061734e-4
<HGDP00879>	Karitiana2	7	False	58347827	9.198424390337622e-3	6.582354135599407e-5
<HGDP00879>	Karitiana2	8	False	58347827	1.1503649484667188e-2	1.6671114385401084e-4
<HGDP00879>	Karitiana2	9	False	58347827	5.91309510121088e-3	5.150808943979145e-5
<HGDP00879>	Karitiana2	10	False	58347827	7.850587991905838e-3	1.1482186502083552e-4
<HGDP00879>	Mbuti2	2	False	58347827	0.1394307876670758	6.959395878092501e-4
<HGDP00879>	Mbuti2	3	False	58347827	3.9191514052755e-2	1.4456892840505845e-4
<HGDP00879>	Mbuti2	4	False	58347827	4.266551738546821e-2	4.2300377462341676e-4
<HGDP00879>	Mbuti2	5	False	58347827	1.5948503493151026e-2	1.0010840587010902e-4
<HGDP00879>	Mbuti2	6	False	58347827	1.8319418694500513e-2	2.2212529762933385e-4
<HGDP00879>	Mbuti2	7	False	58347827	8.34496606640784e-3	6.22941566987097e-5
<HGDP00879>	Mbuti2	8	False	58347827	1.057889751092502e-2	1.9606908005710764e-4
<HGDP00879>	Mbuti2	9	False	58347827	5.295530620968187e-3	5.448413856706067e-5
<HGDP00879>	Mbuti2	10	False	58347827	7.11783343082107e-3	1.1376565930538983e-4
<HGDP00879>	Orcadian2	2	False	58347827	0.1418822886200917	7.260691205361083e-4
<HGDP00879>	Orcadian2	3	False	58347827	4.068632041113374e-2	1.529337062351755e-4
<HGDP00879>	Orcadian2	4	False	58347827	4.456069216926161e-2	4.3562708869560865e-4
<HGDP00879>	Orcadian2	5	False	58347827	1.713508641362614e-2	1.0513267923773768e-4
<HGDP00879>	Orcadian2	6	False	58347827	1.9727652806623343e-2	2.2934694578368686e-4
<HGDP00879>	Orcadian2	7	False	58347827	9.242608719865158e-3	6.68370582262885e-5
<HGDP00879>	Orcadian2	8	False	58347827	1.1654821682232811e-2	2.0071832604832233e-4
<HGDP00879>	Orcadian2	9	False	58347827	5.961989875752411e-3	5.7816744794663386e-5
<HGDP00879>	Orcadian2	10	False	58347827	7.966024365199765e-3	1.2103013148012975e-4
<HGDP00879>	Russian2	2	False	58347827	0.14194007415741847	7.274543953997845e-4
<HGDP00879>	Russian2	3	False	58347827	4.069151743329198e-2	1.5315837546444531e-4
<HGDP00879>	Russian2	4	False	58347827	4.458311126211214e-2	4.364529367629041e-4
<HGDP00879>	Russian2	5	False	58347827	1.7138803569363037e-2	1.0528721169358307e-4
<HGDP00879>	Russian2	6	False	58347827	1.9727319736010693e-2	2.294031624011652e-4
<HGDP00879>	Russian2	7	False	58347827	9.243247061022194e-3	6.682967132717387e-5
<HGDP00879>	Russian2	8	False	58347827	1.1645802723873402e-2	2.0044728976511655e-4
<HGDP00879>	Russian2	9	False	58347827	5.960677440257639e-3	5.774823724957352e-5
<HGDP00879>	Russian2	10	False	58347827	7.956012543162225e-3	1.2059516768070867e-4
<HGDP00879>	Sardinian2	2	False	58347827	0.1419414258497663	7.270751898332512e-4
<HGDP00879>	Sardinian2	3	False	58347827	4.069280984270673e-2	1.530423725664915e-4
<HGDP00879>	Sardinian2	4	False	58347827	4.458267439980133e-2	4.3606610440371005e-4
<HGDP00879>	Sardinian2	5	False	58347827	1.713917446383166e-2	1.0523860918632954e-4
<HGDP00879>	Sardinian2	6	False	58347827	1.9730078247947466e-2	2.2919846744251014e-4
<HGDP00879>	Sardinian2	7	False	58347827	9.243602099420895e-3	6.677146151786744e-5
<HGDP00879>	Sardinian2	8	False	58347827	1.1650655189978883e-2	2.003301481821133e-4
<HGDP00879>	Sardinian2	9	False	58347827	5.959499340711721e-3	5.769661495738431e-5
<HGDP00879>	Sardinian2	10	False	58347827	7.957557073402897e-3	1.203144970371525e-4
<HGDP00879>	Tuscan2	2	False	58347827	0.14196303960042939	7.2731105771578e-4
<HGDP00879>	Tuscan2	3	False	58347827	4.068234909016693e-2	1.5303935548069265e-4
<HGDP00879>	Tuscan2	4	False	58347827	4.460235011551214e-2	4.3627743967864955e-4
<HGDP00879>	Tuscan2	5	False	58347827	1.714047979884496e-2	1.0524976915733702e-4
<HGDP00879>	Tuscan2	6	False	58347827	1.9739575448685237e-2	2.2933392834482776e-4
<HGDP00879>	Tuscan2	7	False	58347827	9.243337659629838e-3	6.677500954912695e-5
<HGDP00879>	Tuscan2	8	False	58347827	1.1657863453938051e-2	2.0067597478955212e-4
<HGDP00879>	Tuscan2	9	False	58347827	5.960289803651701e-3	5.771283562844623e-5
<HGDP00879>	Tuscan2	10	False	58347827	7.965657972718218e-3	1.2081244336491479e-4
<HGDP00880>	Basque2	2	False	58348346	0.1418211990594776	7.263342386279064e-4
<HGDP00880>	Basque2	3	False	58348346	4.06716770229152e-2	1.53027311220509e-4
<HGDP00880>	Basque2	4	False	58348346	4.453551813497045e-2	4.3641241120751976e-4
<HGDP00880>	Basque2	5	False	58348346	1.7124728698189522e-2	1.0514898430684075e-4
<HGDP00880>	Basque2	6	False	58348346	1.9712151166490034e-2	2.3069789624978292e-4
