Left	Right	k	Count
None	All	975	2
None	All	976	2
None	All	977	2
None	All	978	1
None	All	979	1
None	All	980	3
None	All	981	2
None	All	982	2
None	All	983	0
None	All	984	3
None	All	985	4
None	All	986	0
None	All	987	1
None	All	988	1
None	All	989	3
None	All	990	1
None	All	991	3
None	All	992	2
None	All	993	2
None	All	994	5
None	All	995	5
None	All	996	2
None	All	997	2
None	All	998	1
None	All	999	6
None	All	1000	3
None	All	1001	4
None	All	1002	2
None	All	1003	2
None	All	1004	5
None	All	1005	5
None	All	1006	3
None	All	1007	4
None	All	1008	0
None	All	1009	3
None	All	1010	4
None	All	1011	5
None	All	1012	3
None	All	1013	2
None	All	1014	1
None	All	1015	2
None	All	1016	3
None	All	1017	1
None	All	1018	0
None	All	1019	0
None	All	1020	1
None	All	1021	0
None	All	1022	0
None	All	1023	1
None	All	1024	3
None	All	1025	0
None	All	1026	2
None	All	1027	1
None	All	1028	0
None	All	1029	1
None	All	1030	1
None	All	1031	0
None	All	1032	4
None	All	1033	2
None	All	1034	0
None	All	1035	1
None	All	1036	1
None	All	1037	3
None	All	1038	0
None	All	1039	0
None	All	1040	2
None	All	1041	1
None	All	1042	3
None	All	1043	1
None	All	1044	2
None	All	1045	1
None	All	1046	3
None	All	1047	0
None	All	1048	1
None	All	1049	3
None	All	1050	2
None	All	1051	0
None	All	1052	4
None	All	1053	1
None	All	1054	2
None	All	1055	3
None	All	1056	4
None	All	1057	5
None	All	1058	7
None	All	1059	6
None	All	1060	9
None	All	1061	3
None	All	1062	5
None	All	1063	0
None	All	1064	1
None	All	1065	6
None	All	1066	11
None	All	1067	2
None	All	1068	2
None	All	1069	1
None	All	1070	1
None	All	1071	0
None	All	1072	1
None	All	1073	1
None	All	1074	0
None	All	1075	0
None	All	1076	1
None	All	1077	0
None	All	1078	1
None	All	1079	1
None	All	1080	0
None	All	1081	0
None	All	1082	0
None	All	1083	1
None	All	1084	2
None	All	1085	3
None	All	1086	1
None	All	1087	3
None	All	1088	6
None	All	1089	1
None	All	1090	0
None	All	1091	3
None	All	1092	1
None	All	1093	1
None	All	1094	3
None	All	1095	1
None	All	1096	1
None	All	1097	4
None	All	1098	6
None	All	1099	0
None	All	1100	2
None	All	1101	2
None	All	1102	2
None	All	1103	1
None	All	1104	1
None	All	1105	1
None	All	1106	1
