Left	Right	k	Cumulative	Norm	RAS	StdErr
<NO3423>	YRI2	3	False	8028485	2.574175338838909e-2	8.025076029375379e-5
<NO3423>	YRI2	4	False	8028485	1.7986068473987392e-2	6.922353781550777e-5
<NO3423>	YRI2	5	False	8028485	1.3588600612752752e-2	6.268033434838947e-5
<NO3423>	YRI2	6	False	8028485	1.0764631896838038e-2	5.311837173573345e-5
<NO3423>	YRI2	7	False	8028485	8.72057489824105e-3	4.573809529966423e-5
<NO3423>	YRI2	8	False	8028485	7.335584306557038e-3	4.443923139504872e-5
<NO3423>	YRI2	9	False	8028485	6.3042446156819625e-3	3.832689343267246e-5
<NO3423>	YRI2	10	False	8028485	5.448014757691493e-3	3.6326641479612184e-5
<NA12889>	CEU2	2	False	77818002	4.625120490333504e-2	8.300605176997395e-5
<NA12889>	CEU2	3	False	77818002	2.6281543652262464e-2	6.30433504986191e-5
<NA12889>	CEU2	4	False	77818002	1.835364465134388e-2	5.172621776800455e-5
<NA12889>	CEU2	5	False	77818002	1.4046606306197227e-2	4.830037320762982e-5
<NA12889>	CEU2	6	False	77818002	1.1175896823208218e-2	4.0313892207659646e-5
<NA12889>	CEU2	7	False	77818002	9.092433393496798e-3	3.491311805567223e-5
<NA12889>	CEU2	8	False	77818002	7.6582577182204075e-3	3.3375997556787965e-5
<NA12889>	CEU2	9	False	77818002	6.577269275151116e-3	2.963670624644434e-5
<NA12889>	CEU2	10	False	77818002	5.668775835164086e-3	2.8096535199894633e-5
<NA12889>	FIN2	2	False	77818002	4.625721552458001e-2	8.30158152344653e-5
<NA12889>	FIN2	3	False	77818002	2.628228696077747e-2	6.305023999456612e-5
<NA12889>	FIN2	4	False	77818002	1.8352824074247837e-2	5.173309707464862e-5
<NA12889>	FIN2	5	False	77818002	1.4045109852575503e-2	4.830791966425362e-5
<NA12889>	FIN2	6	False	77818002	1.117418634919598e-2	4.030895616040753e-5
<NA12889>	FIN2	7	False	77818002	9.090246788699446e-3	3.490966646149451e-5
<NA12889>	FIN2	8	False	77818002	7.6566352436166635e-3	3.3390897694308723e-5
<NA12889>	FIN2	9	False	77818002	6.575487427888899e-3	2.961347083182921e-5
<NA12889>	FIN2	10	False	77818002	5.667472536435176e-3	2.8083038073755373e-5
<NA12889>	GBR2	2	False	77818002	4.6251915737290886e-2	8.301388125830103e-5
<NA12889>	GBR2	3	False	77818002	2.628231485996109e-2	6.304417586194414e-5
<NA12889>	GBR2	4	False	77818002	1.8354544496491588e-2	5.172918727412378e-5
<NA12889>	GBR2	5	False	77818002	1.4047249401526227e-2	4.8303610471356674e-5
<NA12889>	GBR2	6	False	77818002	1.117654450135519e-2	4.0316035572918206e-5
<NA12889>	GBR2	7	False	77818002	9.092930267347839e-3	3.4916563010176534e-5
<NA12889>	GBR2	8	False	77818002	7.6588177638821e-3	3.3388509470362646e-5
<NA12889>	GBR2	9	False	77818002	6.577638420673908e-3	2.9634121199135195e-5
<NA12889>	GBR2	10	False	77818002	5.669195963280939e-3	2.810369894804229e-5
<NA12889>	IBS2	2	False	77818002	4.6247127092410543e-2	8.29997805841735e-5
<NA12889>	IBS2	3	False	77818002	2.627918029509307e-2	6.303855308604485e-5
<NA12889>	IBS2	4	False	77818002	1.8351817934902873e-2	5.1716199205308395e-5
<NA12889>	IBS2	5	False	77818002	1.4044973075216464e-2	4.830355525295755e-5
<NA12889>	IBS2	6	False	77818002	1.117459470796144e-2	4.030074408756964e-5
<NA12889>	IBS2	7	False	77818002	9.09111401461359e-3	3.4897889119987855e-5
<NA12889>	IBS2	8	False	77818002	7.656950637206025e-3	3.336661544795234e-5
<NA12889>	IBS2	9	False	77818002	6.576082546579715e-3	2.962119714047138e-5
<NA12889>	IBS2	10	False	77818002	5.66754711663174e-3	2.8079711600991145e-5
<NA12889>	TSI2	2	False	77818002	4.6240357909545685e-2	8.298376746294987e-5
<NA12889>	TSI2	3	False	77818002	2.6278577820959506e-2	6.303321907128739e-5
<NA12889>	TSI2	4	False	77818002	1.835278973843903e-2	5.172194616129802e-5
<NA12889>	TSI2	5	False	77818002	1.4046726464337127e-2	4.831576943052226e-5
<NA12889>	TSI2	6	False	77818002	1.1176152861317191e-2	4.0313714581606186e-5
<NA12889>	TSI2	7	False	77818002	9.092767506418369e-3	3.4911563024305256e-5
<NA12889>	TSI2	8	False	77818002	7.658688942290904e-3	3.338156240069363e-5
<NA12889>	TSI2	9	False	77818002	6.577598813434556e-3	2.962722794050897e-5
<NA12889>	TSI2	10	False	77818002	5.6691034342021916e-3	2.8086076652597618e-5
<NA12889>	CHB2	2	False	77818002	4.621324085533495e-2	8.296705514498101e-5
<NA12889>	CHB2	3	False	77818002	2.6255561459396257e-2	6.301741899211476e-5
<NA12889>	CHB2	4	False	77818002	1.833325214363889e-2	5.170052279903518e-5
<NA12889>	CHB2	5	False	77818002	1.4030625014576227e-2	4.827314152911439e-5
<NA12889>	CHB2	6	False	77818002	1.1162690380771239e-2	4.025614686221902e-5
<NA12889>	CHB2	7	False	77818002	9.081401655342143e-3	3.4871718528321286e-5
<NA12889>	CHB2	8	False	77818002	7.648808816782275e-3	3.3296010896860516e-5
<NA12889>	CHB2	9	False	77818002	6.56961402868917e-3	2.955967244502627e-5
<NA12889>	CHB2	10	False	77818002	5.662412168911099e-3	2.804451842636355e-5
<NA12889>	YRI2	2	False	77818002	4.608393144105304e-2	8.251022144315107e-5
<NA12889>	YRI2	3	False	77818002	2.6109411767509656e-2	6.232201660035454e-5
<NA12889>	YRI2	4	False	77818002	1.818202541972502e-2	5.094677946924726e-5
<NA12889>	YRI2	5	False	77818002	1.3875066527175703e-2	4.737211664478226e-5
<NA12889>	YRI2	6	False	77818002	1.1008382096471613e-2	3.9398865013995015e-5
<NA12889>	YRI2	7	False	77818002	8.931418410283616e-3	3.4019853348398415e-5
<NA12889>	YRI2	8	False	77818002	7.501661529484636e-3	3.246797344718981e-5
<NA12889>	YRI2	9	False	77818002	6.424789821034717e-3	2.8689027051465844e-5
<NA12889>	YRI2	10	False	77818002	5.522530359638768e-3	2.711136363277059e-5
<NA12890>	CEU2	2	False	77818002	4.625152417856937e-2	8.30141657451492e-5
<NA12890>	CEU2	3	False	77818002	2.6282151070083866e-2	6.311759419533909e-5
<NA12890>	CEU2	4	False	77818002	1.8351520643039555e-2	5.1646812634188544e-5
<NA12890>	CEU2	5	False	77818002	1.4047451888770672e-2	4.832658592928765e-5
<NA12890>	CEU2	6	False	77818002	1.1175454838975599e-2	4.033565008834474e-5
<NA12890>	CEU2	7	False	77818002	9.09181448309182e-3	3.492808664988107e-5
<NA12890>	CEU2	8	False	77818002	7.658146468685956e-3	3.339080719737937e-5
<NA12890>	CEU2	9	False	77818002	6.577782765113073e-3	2.9669460650752457e-5
<NA12890>	CEU2	10	False	77818002	5.670316735607845e-3	2.8197562616899335e-5
<NA12890>	FIN2	2	False	77818002	4.625752973247924e-2	8.302414543941433e-5
<NA12890>	FIN2	3	False	77818002	2.6282880633866232e-2	6.312442429602349e-5
<NA12890>	FIN2	4	False	77818002	1.8350716957060673e-2	5.1656334833321566e-5
<NA12890>	FIN2	5	False	77818002	1.404595672682261e-2	4.833428899872535e-5
<NA12890>	FIN2	6	False	77818002	1.1173736515561866e-2	4.0331272469177914e-5
<NA12890>	FIN2	7	False	77818002	9.0896163857108e-3	3.492511652282353e-5
<NA12890>	FIN2	8	False	77818002	7.6565120047010025e-3	3.340589569090205e-5
<NA12890>	FIN2	9	False	77818002	6.5759871731182655e-3	2.964666477110296e-5
<NA12890>	FIN2	10	False	77818002	5.669006183634499e-3	2.8182051637674048e-5
<NA12890>	GBR2	2	False	77818002	4.625223288466866e-2	8.302200047487068e-5
<NA12890>	GBR2	3	False	77818002	2.62829203132923e-2	6.311824194426161e-5
<NA12890>	GBR2	4	False	77818002	1.8352418280694293e-2	5.1649789941451925e-5
<NA12890>	GBR2	5	False	77818002	1.4048096704098427e-2	4.832956733016341e-5
<NA12890>	GBR2	6	False	77818002	1.117609953484865e-2	4.03381774549827e-5
<NA12890>	GBR2	7	False	77818002	9.092313660074017e-3	3.4931450489134496e-5
<NA12890>	GBR2	8	False	77818002	7.658701604052631e-3	3.340385743568765e-5
<NA12890>	GBR2	9	False	77818002	6.5781571692473855e-3	2.966739946396387e-5
<NA12890>	GBR2	10	False	77818002	5.670741488221568e-3	2.8203346698085728e-5
<NA12890>	IBS2	2	False	77818002	4.624744116467607e-2	8.300799165480947e-5
<NA12890>	IBS2	3	False	77818002	2.627976704266609e-2	6.3112451709944e-5
<NA12890>	IBS2	4	False	77818002	1.8349680224133146e-2	5.163656080500283e-5
<NA12890>	IBS2	5	False	77818002	1.4045819372232154e-2	4.8329515535003966e-5
<NA12890>	IBS2	6	False	77818002	1.1174156995557029e-2	4.032237846441869e-5
<NA12890>	IBS2	7	False	77818002	9.090487767060578e-3	3.491327632730777e-5
<NA12890>	IBS2	8	False	77818002	7.656825497842538e-3	3.338166448169829e-5
<NA12890>	IBS2	9	False	77818002	6.576582155544596e-3	2.9654633688868127e-5
<NA12890>	IBS2	10	False	77818002	5.669081710743002e-3	2.8180377742794527e-5
<NA12890>	TSI2	2	False	77818002	4.6240665923719795e-2	8.299200845876626e-5
<NA12890>	TSI2	3	False	77818002	2.627916551702153e-2	6.31074201695914e-5
<NA12890>	TSI2	4	False	77818002	1.8350670416118615e-2	5.1644880044210827e-5
<NA12890>	TSI2	5	False	77818002	1.4047566030140051e-2	4.834182712572753e-5
<NA12890>	TSI2	6	False	77818002	1.1175700615612605e-2	4.0335343611823517e-5
<NA12890>	TSI2	7	False	77818002	9.092142941668524e-3	3.4926557460416144e-5
<NA12890>	TSI2	8	False	77818002	7.658566526008929e-3	3.339681732468048e-5
<NA12890>	TSI2	9	False	77818002	6.578096066474991e-3	2.96608118796425e-5
<NA12890>	TSI2	10	False	77818002	5.670635274635527e-3	2.818768521838389e-5
<NA12890>	CHB2	2	False	77818002	4.621355502453971e-2	8.297499550750394e-5
<NA12890>	CHB2	3	False	77818002	2.62561611386528e-2	6.309191467155964e-5
<NA12890>	CHB2	4	False	77818002	1.833111985176806e-2	5.162125946864801e-5
<NA12890>	CHB2	5	False	77818002	1.403147022102638e-2	4.829941764613912e-5
<NA12890>	CHB2	6	False	77818002	1.1162237527985189e-2	4.0278481987322954e-5
<NA12890>	CHB2	7	False	77818002	9.08077039058188e-3	3.488681590526787e-5
<NA12890>	CHB2	8	False	77818002	7.6486844786815035e-3	3.331105207724312e-5
<NA12890>	CHB2	9	False	77818002	6.570116820287756e-3	2.9593525322758556e-5
<NA12890>	CHB2	10	False	77818002	5.663958204569282e-3	2.814842746661948e-5
<NA12890>	YRI2	2	False	77818002	4.608424603345779e-2	8.251884981296586e-5
<NA12890>	YRI2	3	False	77818002	2.611000714327353e-2	6.239711597932119e-5
<NA12890>	YRI2	4	False	77818002	1.8179884220963272e-2	5.0865573652135385e-5
<NA12890>	YRI2	5	False	77818002	1.3875911906298716e-2	4.739799111430123e-5
<NA12890>	YRI2	6	False	77818002	1.1007927372456894e-2	3.941993439084478e-5
<NA12890>	YRI2	7	False	77818002	8.930782371875754e-3	3.403593860319748e-5
